"Serial No.","GRE Score","TOEFL Score","University Rating",SOP,LOR,CGPA,Research,"Chance of Admit"
1,337,118,4,5,5,10,1,0.92
6,330,115,5,5,3,9,1,0.9
12,327,111,4,4,5,9,1,0.84
23,328,116,5,5,5,10,1,0.94
24,334,119,5,5,5,10,1,0.95
25,336,119,5,4,4,10,1,0.97
26,340,120,5,5,5,10,1,0.94
33,338,118,4,3,5,9,1,0.91
34,340,114,5,4,4,10,1,0.9
35,331,112,5,4,5,10,1,0.94
36,320,110,5,5,5,9,1,0.88
44,332,117,4,5,4,9,0,0.87
45,326,113,5,5,4,9,1,0.91
46,322,110,5,5,4,9,1,0.88
47,329,114,5,4,5,9,1,0.86
48,339,119,5,5,4,10,0,0.89
49,321,110,3,4,5,9,1,0.82
71,332,118,5,5,5,10,1,0.94
72,336,112,5,5,5,10,1,0.96
73,321,111,5,5,5,9,1,0.93
74,314,108,4,5,4,9,1,0.84
82,340,120,4,5,5,10,1,0.96
83,320,110,5,5,5,9,1,0.92
84,322,115,5,4,5,9,1,0.92
85,340,115,5,5,5,9,1,0.94
98,331,120,3,4,4,9,1,0.86
99,332,119,4,5,5,9,1,0.9
107,329,111,4,5,5,9,1,0.87
108,338,117,4,4,5,9,1,0.91
109,331,116,5,5,5,9,1,0.93
121,335,117,5,5,5,10,1,0.94
122,334,119,5,5,5,9,1,0.94
127,323,113,3,4,3,9,1,0.85
129,326,112,3,4,3,9,1,0.84
130,333,118,5,5,5,9,1,0.92
131,339,114,5,4,5,10,1,0.96
135,333,113,5,4,4,9,1,0.89
136,314,109,4,4,4,9,1,0.82
141,329,110,2,4,3,9,1,0.84
142,332,118,2,5,4,9,1,0.9
143,331,115,5,4,4,9,1,0.92
144,340,120,4,5,4,10,1,0.97
146,320,113,2,2,3,9,1,0.81
148,326,114,3,3,3,9,1,0.83
149,339,116,4,4,4,10,1,0.96
151,334,114,4,4,4,9,1,0.93
152,332,116,5,5,5,9,1,0.94
153,321,112,5,5,5,9,1,0.86
165,329,111,4,5,4,9,1,0.81
172,334,117,5,4,5,9,1,0.89
173,322,110,4,4,5,9,1,0.86
174,323,113,4,4,5,9,1,0.89
175,321,111,4,4,4,9,1,0.87
176,320,111,4,5,4,9,1,0.85
177,329,119,4,5,5,9,1,0.9
178,319,110,3,4,4,9,0,0.82
186,327,113,4,5,5,9,1,0.89
187,317,107,3,4,3,9,1,0.84
188,335,118,5,5,4,9,1,0.93
189,331,115,5,5,4,9,1,0.93
190,324,112,5,5,5,9,1,0.88
191,324,111,5,5,4,9,1,0.9
192,323,110,5,4,5,9,1,0.87
193,322,114,5,5,4,9,1,0.86
194,336,118,5,5,5,10,1,0.94
203,340,120,5,5,5,10,1,0.97
204,334,120,5,4,5,10,1,0.97
212,328,110,4,5,4,9,1,0.82
213,338,120,4,5,5,10,1,0.95
214,333,119,5,5,5,10,1,0.96
215,331,117,4,5,5,9,1,0.94
216,330,116,5,5,5,9,1,0.93
217,322,112,4,5,5,9,1,0.91
218,321,109,4,4,4,9,1,0.85
219,324,110,4,3,4,9,1,0.84
230,324,111,4,3,3,9,1,0.82
235,330,113,5,5,4,9,1,0.91
236,326,111,5,5,4,9,1,0.88
237,325,112,4,4,5,9,1,0.85
238,329,114,5,5,5,9,1,0.86
246,328,110,4,4,3,9,1,0.81
254,335,115,4,5,5,10,1,0.93
255,321,114,4,4,5,9,0,0.85
260,331,119,4,5,5,9,1,0.9
261,327,108,5,5,4,9,1,0.87
269,327,113,4,5,5,9,0,0.83
277,329,113,5,5,5,9,1,0.89
283,312,106,3,4,4,9,1,0.81
285,340,112,4,5,5,10,1,0.94
286,331,116,5,4,4,9,1,0.93
287,336,118,5,5,4,9,1,0.92
288,324,114,5,5,5,9,1,0.89
289,314,104,4,5,5,9,0,0.82
298,320,120,3,4,5,9,0,0.86
299,330,114,3,5,5,9,1,0.9
312,328,108,4,5,4,9,1,0.84
326,326,116,3,4,4,9,1,0.81
336,325,111,4,4,5,9,1,0.83
338,332,118,5,5,5,9,1,0.94
339,323,108,5,4,4,9,1,0.81
340,324,107,5,4,4,9,1,0.81
360,321,107,2,2,2,8,0,0.81
361,322,110,3,4,5,9,1,0.85
362,334,116,4,4,4,10,1,0.93
363,338,115,5,5,5,9,1,0.91
366,330,114,4,5,3,9,1,0.86
372,324,110,3,4,3,9,1,0.89
373,336,119,4,5,4,10,1,0.95
383,324,110,4,5,4,9,1,0.82
385,340,113,4,5,5,10,1,0.96
386,335,117,5,5,5,10,1,0.96
393,326,112,4,4,4,9,1,0.84
395,329,111,4,5,4,9,1,0.89
396,324,110,3,4,4,9,1,0.82
397,325,107,3,3,4,9,1,0.84
398,330,116,4,5,5,9,1,0.91
400,333,117,4,5,4,10,1,0.95
